path,result,confidence,contrast,sharpness,has_exif,error
dataset/ai\preview (37).webp,AI Generated 🤖,1.0,66.17494607205188,13.8573637008667,False,
dataset/ai\preview (38).webp,AI Generated 🤖,1.0,69.1264718596244,15.64975643157959,False,
dataset/ai\preview (39).webp,AI Generated 🤖,1.0,66.69271424267153,9.46113109588623,False,
dataset/ai\preview (4).webp,AI Generated 🤖,1.0,23.82403537626797,7.775088310241699,False,
dataset/ai\preview (40).webp,AI Generated 🤖,1.0,58.60017208034575,11.303221702575684,False,
dataset/ai\preview (41).webp,AI Generated 🤖,1.0,62.93597640284477,11.880060195922852,False,
dataset/ai\preview (42).webp,AI Generated 🤖,1.0,43.96201449844336,3.819106101989746,False,
dataset/ai\preview (43).webp,AI Generated 🤖,1.0,66.21113648875047,5.986315727233887,False,
dataset/ai\preview (44).webp,AI Generated 🤖,1.0,58.204823133518815,9.050915718078613,False,
dataset/ai\preview (45).webp,AI Generated 🤖,1.0,68.25539541120968,5.813485145568848,False,
dataset/ai\preview (46).webp,AI Generated 🤖,1.0,64.96051465572451,14.731619834899902,False,
dataset/ai\preview (47).webp,AI Generated 🤖,1.0,64.7534101785112,11.400397300720215,False,
dataset/ai\preview (48).webp,AI Generated 🤖,1.0,66.49989150495595,7.228750228881836,False,
dataset/ai\preview (49).webp,AI Generated 🤖,1.0,66.40329338963085,6.869204521179199,False,
dataset/ai\preview (5).webp,AI Generated 🤖,1.0,68.23632470053158,7.782205581665039,False,
dataset/ai\preview (50).webp,AI Generated 🤖,1.0,51.5975021677668,9.851259231567383,False,
dataset/ai\preview (51).webp,AI Generated 🤖,1.0,47.56457160623238,6.895031929016113,False,
dataset/ai\preview (52).webp,AI Generated 🤖,1.0,49.19267846824594,7.747215270996094,False,
dataset/ai\preview (53).webp,AI Generated 🤖,1.0,60.23868971204422,9.047141075134277,False,
dataset/ai\preview (54).webp,AI Generated 🤖,1.0,25.766774847580066,5.074923515319824,False,
dataset/ai\preview (55).webp,AI Generated 🤖,1.0,47.208723088907256,8.049359321594238,False,
dataset/ai\preview (56).webp,AI Generated 🤖,1.0,36.04274204713593,9.256184577941895,False,
dataset/ai\preview (57).webp,AI Generated 🤖,1.0,30.627127100364856,6.4845685958862305,False,
dataset/ai\preview (58).webp,AI Generated 🤖,1.0,64.68805588043226,15.971731185913086,False,
dataset/ai\preview (59).webp,AI Generated 🤖,1.0,61.11346408478436,12.366698265075684,False,
dataset/ai\preview (6).webp,AI Generated 🤖,1.0,84.25937270837399,7.074419975280762,False,
dataset/ai\preview (60).webp,AI Generated 🤖,1.0,70.25713531663213,10.523808479309082,False,
dataset/ai\preview (61).webp,AI Generated 🤖,1.0,67.42493055809769,13.404200553894043,False,
dataset/ai\preview (62).webp,AI Generated 🤖,1.0,55.36146208766804,25.613932609558105,False,
dataset/ai\preview (63).webp,AI Generated 🤖,1.0,72.3730294636403,10.589457511901855,False,
dataset/ai\preview (64).webp,AI Generated 🤖,1.0,78.9875156349075,15.66104507446289,False,
dataset/ai\preview (65).webp,AI Generated 🤖,1.0,70.8214819835859,18.920822143554688,False,
dataset/ai\preview (7).webp,AI Generated 🤖,1.0,68.38121351007149,5.714512825012207,False,
dataset/ai\preview (8).webp,AI Generated 🤖,1.0,75.94512765512331,18.41982184516059,False,
dataset/ai\preview (9).webp,AI Generated 🤖,1.0,81.27139337771554,15.619632297092014,False,
dataset/ai\preview.webp,AI Generated 🤖,1.0,50.33726611463815,6.153190612792969,False,
dataset/ai\text-to-image.webp,AI Generated 🤖,1.0,49.66415542320234,12.612152099609375,False,
